feature,folds_selected_in,pct_of_folds
relpow_gamma_P8,8,80.0
logpow_theta_O2,7,70.0
relpow_theta_F4,7,70.0
relpow_alpha_O2,7,70.0
logpow_alpha_P8,7,70.0
logpow_gamma_F8,7,70.0
relpow_alpha_F8,7,70.0
relpow_alpha_T8,6,60.0
logpow_beta_F7,6,60.0
ratio_theta_alpha_mean,6,60.0
asym_theta_FC6minusFC5,6,60.0
logpow_theta_F8,6,60.0
relpow_theta_O2,6,60.0
relpow_alpha_FC6,5,50.0
logpow_gamma_O2,5,50.0
relpow_beta_F8,5,50.0
hjorth_complexity_FC6,5,50.0
logpow_beta_F8,5,50.0
relpow_theta_FC6,5,50.0
relpow_beta_FC6,5,50.0
